IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1000063,Sparky Adams,adamssp01,1960,BBWAA,269.0,202.0,1.0,N,Player,
1000191,Nick Altrock,altroni01,1960,BBWAA,269.0,202.0,18.0,N,Player,
1000284,Luke Appling,applilu01,1960,BBWAA,269.0,202.0,72.0,N,Player,
1000379,Earl Averill,averiea01,1960,BBWAA,269.0,202.0,11.0,N,Player,
1000503,Dave Bancroft,bancrda01,1960,BBWAA,269.0,202.0,30.0,N,Player,
1000621,Dick Bartell,bartedi01,1960,BBWAA,269.0,202.0,1.0,N,Player,
1000880,Moe Berg,bergmo01,1960,BBWAA,269.0,202.0,5.0,N,Player,
1000994,Max Bishop,bishoma01,1960,BBWAA,269.0,202.0,5.0,N,Player,
1001023,Ray Blades,bladera01,1960,BBWAA,269.0,202.0,1.0,N,Player,
1001090,Ossie Bluege,bluegos01,1960,BBWAA,269.0,202.0,3.0,N,Player,
1001228,Jim Bottomley,bottoji01,1960,BBWAA,269.0,202.0,89.0,N,Player,
1001234,Lou Boudreau,boudrlo01,1960,BBWAA,269.0,202.0,35.0,N,Player,
1001375,Harry Brecheen,brechha01,1960,BBWAA,269.0,202.0,7.0,N,Player,
1001421,Tommy Bridges,bridgto01,1960,BBWAA,269.0,202.0,4.0,N,Player,
1001860,Dolph Camilli,camildo01,1960,BBWAA,269.0,202.0,3.0,N,Player,
1002033,George Case,casege01,1960,BBWAA,269.0,202.0,1.0,N,Player,
1002478,Earle Combs,combsea01,1960,BBWAA,269.0,202.0,43.0,N,Player,
1002598,Mort Cooper,coopemo01,1960,BBWAA,269.0,202.0,1.0,N,Player,
1002727,Doc Cramer,cramedo01,1960,BBWAA,269.0,202.0,1.0,N,Player,
1002802,Frankie Crosetti,crosefr01,1960,BBWAA,269.0,202.0,8.0,N,Player,
1002914,Kiki Cuyler,cuyleki01,1960,BBWAA,269.0,202.0,72.0,N,Player,
1002978,Harry Danning,danniha01,1960,BBWAA,269.0,202.0,1.0,N,Player,
