IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1000041,Babe Adams,adamsba01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000067,Joe Adcock,adcocjo01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000137,Dick Allen,allendi01,2003,Veterans - Players,81.0,61.0,13.0,N,Player,
1000150,Johnny Allen,allenjo02,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000177,Felipe Alou,aloufe01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000380,Bobby Avila,avilabo01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000505,Sal Bando,bandosa01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000621,Dick Bartell,bartedi01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000733,Ginger Beaumont,beaumgi01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000743,Glenn Beckert,beckegl01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1000875,Wally Berger,bergewa01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1001098,Bert Blyleven,blylebe01,2003,BBWAA,496.0,372.0,145.0,N,Player,
1001157,Bobby Bonds,bondsbo01,2003,Veterans - Players,81.0,61.0,5.0,N,Player,
1001283,Ken Boyer,boyerke01,2003,Veterans - Players,81.0,61.0,11.0,N,Player,
1001375,Harry Brecheen,brechha01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1001421,Tommy Bridges,bridgto01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1001554,Pete Browning,brownpe01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1001634,Charlie Buffinton,buffich01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
1001662,Lew Burdette,burdele01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
