IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1000335,Richie Ashburn,ashburi01,1977,BBWAA,383.0,288.0,139.0,N,Player,
1000512,Ernie Banks,bankser01,1977,BBWAA,383.0,288.0,321.0,Y,Player,
1001283,Ken Boyer,boyerke01,1977,BBWAA,383.0,288.0,14.0,N,Player,
1001554,Pete Browning,brownpe01,1977,Veterans,,,,N,Player,
1001653,Jim Bunning,bunniji01,1977,BBWAA,383.0,288.0,146.0,N,Player,
1001662,Lew Burdette,burdele01,1977,BBWAA,383.0,288.0,85.0,N,Player,
1002601,Walker Cooper,coopewa01,1977,BBWAA,383.0,288.0,45.0,N,Player,
1002729,Del Crandall,crandde01,1977,BBWAA,383.0,288.0,8.0,N,Player,
1003516,Don Drysdale,drysddo01,1977,BBWAA,383.0,288.0,197.0,N,Player,
1003891,Roy Face,facero01,1977,BBWAA,383.0,288.0,33.0,N,Player,
1004165,Curt Flood,floodcu01,1977,BBWAA,383.0,288.0,16.0,N,Player,
1004281,Nellie Fox,foxne01,1977,BBWAA,383.0,288.0,152.0,N,Player,
1005075,Dick Groat,groatdi01,1977,BBWAA,383.0,288.0,4.0,N,Player,
1005184,Harvey Haddix,haddiha01,1977,BBWAA,383.0,288.0,7.0,N,Player,
1005883,Gil Hodges,hodgegi01,1977,BBWAA,383.0,288.0,224.0,N,Player,
1006079,Elston Howard,howarel01,1977,BBWAA,383.0,288.0,43.0,N,Player,
1008110,Roger Maris,marisro01,1977,BBWAA,383.0,288.0,82.0,N,Player,
1008236,Eddie Mathews,matheed01,1977,BBWAA,383.0,288.0,239.0,N,Player,
1006783,George Kell,kellge01,1977,BBWAA,383.0,288.0,141.0,N,Player,
1006991,Chuck Klein,kleinch01,1977,Veterans,,,,N,Player,
1007020,Ted Kluszewski,kluszte01,1977,BBWAA,383.0,288.0,55.0,N,Player,
1007200,Harvey Kuenn,kuennha01,1977,BBWAA,383.0,288.0,57.0,N,Player,
1007359,Don Larsen,larsedo01,1977,BBWAA,383.0,288.0,39.0,N,Player,
1007410,Vern Law,lawve01,1977,BBWAA,383.0,288.0,5.0,N,Player,
1007422,Tony Lazzeri,lazzeto01,1977,Veterans,,,,N,Player,
1015769,John Henry Lloyd,lloydpo99,1977,Negro League,,,,Y,Player,
1007718,Ernie Lombardi,lombaer01,1977,Veterans,,,,N,Player,4 or 5 votes
1007751,Al Lopez,lopezal01,1977,Veterans,,,,Y,Manager,
1009529,Don Newcombe,newcodo01,1977,BBWAA,383.0,288.0,43.0,N,Player,
1011308,Amos Rusie,rusieam01,1977,Veterans,,,,Y,Player,
1011600,Red Schoendienst,schoere01,1977,BBWAA,383.0,288.0,105.0,N,Player,
1011766,Joe Sewell,seweljo01,1977,Veterans,,,,Y,Player,
1010039,Camilo Pascual,pascuca02,1977,BBWAA,383.0,288.0,3.0,N,Player,
1010355,Babe Pinelli,pinelba01,1977,Veterans,,,,N,Umpire,
1010406,Johnny Podres,podrejo01,1977,BBWAA,383.0,288.0,3.0,N,Player,
1010776,Pee Wee Reese,reesepe01,1977,BBWAA,383.0,288.0,163.0,N,Player,
1012060,Enos Slaughter,slaugen01,1977,BBWAA,383.0,288.0,222.0,N,Player,
1012230,Duke Snider,snidedu01,1977,BBWAA,383.0,288.0,212.0,N,Player,
1013032,Bobby Thomson,thomsbo01,1977,BBWAA,383.0,288.0,10.0,N,Player,
1013416,Mickey Vernon,vernomi01,1977,BBWAA,383.0,288.0,52.0,N,Player,
1013795,Vic Wertz,wertzvi01,1977,BBWAA,383.0,288.0,4.0,N,Player,
1013897,Will White,whitewi01,1977,BBWAA,383.0,288.0,4.0,N,Player,
1014083,Hack Wilson,wilsoha01,1977,Veterans,,,,N,Player,
