IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1000122,Doyle Alexander,alexado01,1995,BBWAA,460.0,345.0,0.0,N,Player,
1000137,Dick Allen,allendi01,1995,BBWAA,460.0,345.0,72.0,N,Player,
1000335,Richie Ashburn,ashburi01,1995,Veterans,,,,Y,Player,
1000621,Dick Bartell,bartedi01,1995,Veterans,,,,N,Player,
1000700,Don Baylor,baylodo01,1995,BBWAA,460.0,345.0,12.0,N,Player,
1000799,Buddy Bell,bellbu01,1995,BBWAA,460.0,345.0,8.0,N,Player,
1001094,Vida Blue,bluevi01,1995,BBWAA,460.0,345.0,26.0,N,Player,
1001157,Bobby Bonds,bondsbo01,1995,BBWAA,460.0,345.0,35.0,N,Player,
1001554,Pete Browning,brownpe01,1995,Veterans,,,,N,Player,
1001653,Jim Bunning,bunniji01,1995,Veterans,,,,N,Player,
1002494,Dave Concepcion,conceda01,1995,BBWAA,460.0,345.0,43.0,N,Player,
1002602,Wilbur Cooper,coopewi01,1995,Veterans,,,,N,Player,
1002924,Bill Dahlen,dahlebi01,1995,Veterans,,,,N,Player,
1003049,George Davis,davisge01,1995,Veterans,,,,N,Player,
1015012,Leon Day,dayle99,1995,Veterans,,,,Y,Player,
1003346,Larry Doby,dobyla01,1995,Veterans,,,,N,Player,
1003864,Darrell Evans,evansda01,1995,BBWAA,460.0,345.0,8.0,N,Player,
1004010,Wes Ferrell,ferrewe01,1995,Veterans,,,,N,Player,
1004165,Curt Flood,floodcu01,1995,BBWAA,460.0,345.0,59.0,N,Player,
1004233,Bob Forsch,forscbo01,1995,BBWAA,460.0,345.0,2.0,N,Player,
1004250,George Foster,fostege01,1995,BBWAA,460.0,345.0,19.0,N,Player,
1004281,Nellie Fox,foxne01,1995,Veterans,,,,N,Player,
1004557,Steve Garvey,garvest01,1995,BBWAA,460.0,345.0,196.0,N,Player,
1004757,Jack Glasscock,glassja01,1995,Veterans,,,,N,Player,
1004874,Joe Gordon,gordojo01,1995,Veterans,,,,N,Player,
1005086,Greg Gross,grossgr01,1995,BBWAA,460.0,345.0,0.0,N,Player,
1005124,Ron Guidry,guidrro01,1995,BBWAA,460.0,345.0,25.0,N,Player,
