IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1000041,Babe Adams,adamsba01,1962,Veterans,,,,N,Player,Preliminary poll
1000284,Luke Appling,applilu01,1962,BBWAA,160.0,120.0,48.0,N,Player,
1000379,Earl Averill,averiea01,1962,BBWAA,160.0,120.0,3.0,N,Player,
1000503,Dave Bancroft,bancrda01,1962,Veterans,,,,N,Player,Preliminary poll
1000754,Jake Beckley,becklja01,1962,Veterans,,,,N,Player,Preliminary poll
1001228,Jim Bottomley,bottoji01,1962,BBWAA,160.0,120.0,20.0,N,Player,
1001234,Lou Boudreau,boudrlo01,1962,BBWAA,160.0,120.0,12.0,N,Player,
1001304,Bill Bradley,bradlbi01,1962,Veterans,,,,N,Player,
1001421,Tommy Bridges,bridgto01,1962,BBWAA,160.0,120.0,1.0,N,Player,
1001749,Donie Bush,bushdo01,1962,Veterans,,,,N,Player,Preliminary poll
1002033,George Case,casege01,1962,BBWAA,160.0,120.0,1.0,N,Player,
1002093,Phil Cavarretta,cavarph01,1962,BBWAA,160.0,120.0,2.0,N,Player,
1002133,Spud Chandler,chandsp01,1962,BBWAA,160.0,120.0,2.0,N,Player,
1002293,John Clarkson,clarkjo01,1962,Veterans,,,,N,Player,Preliminary poll
1002478,Earle Combs,combsea01,1962,BBWAA,160.0,120.0,6.0,N,Player,
1002537,Roger Connor,connoro01,1962,Veterans,,,,N,Player,Preliminary poll
1002583,Jack Coombs,coombja01,1962,Veterans,,,,N,Player,Preliminary poll
1002602,Wilbur Cooper,coopewi01,1962,Veterans,,,,N,Player,
1002622,Tommy Corcoran,corcoto01,1962,Veterans,,,,N,Player,
1002682,Stan Coveleski,covelst01,1962,Veterans,,,,N,Player,Preliminary poll
1002692,Billy Cox,coxbi02,1962,BBWAA,160.0,120.0,1.0,N,Player,
1002727,Doc Cramer,cramedo01,1962,BBWAA,160.0,120.0,1.0,N,Player,
1002808,Lave Cross,crossla01,1962,Veterans,,,,N,Player,Preliminary poll
1002914,Kiki Cuyler,cuyleki01,1962,BBWAA,160.0,120.0,31.0,N,Player,
1002924,Bill Dahlen,dahlebi01,1962,Veterans,,,,N,Player,
1003005,Jake Daubert,daubeja01,1962,Veterans,,,,N,Player,Preliminary poll
1003310,Dom DiMaggio,dimagdo01,1962,BBWAA,160.0,120.0,2.0,N,Player,
1003355,Bobby Doerr,doerrbo01,1962,BBWAA,160.0,120.0,10.0,N,Player,
1003596,Leo Durocher,durocle01,1962,BBWAA,160.0,120.0,1.0,N,Manager,
1003733,Bob Elliott,elliobo01,1962,BBWAA,160.0,120.0,1.0,N,Player,
