IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1012745,Don Sutton,suttodo01,All-Star Game MVP,1977,ML,,
1006308,Reggie Jackson,jacksre01,Babe Ruth Award,1977,AL,,OF
1007859,Sparky Lyle,lylesp01,Cy Young Award,1977,AL,,
1001964,Steve Carlton,carltst01,Cy Young Award,1977,NL,,
1012325,Jim Spencer,spencji01,Gold Glove,1977,AL,,1B
1013872,Frank White,whitefr01,Gold Glove,1977,AL,,2B
1009517,Graig Nettles,nettlgr01,Gold Glove,1977,AL,,3B
1012724,Jim Sundberg,sundbji01,Gold Glove,1977,AL,,C
1000833,Juan Beniquez,beniqju01,Gold Glove,1977,AL,,OF
1002689,Al Cowens,cowenal01,Gold Glove,1977,AL,,OF
1014326,Carl Yastrzemski,yastrca01,Gold Glove,1977,AL,,OF
1009973,Jim Palmer,palmeji01,Gold Glove,1977,AL,,P
1000786,Mark Belanger,belanma01,Gold Glove,1977,AL,,SS
1004557,Steve Garvey,garvest01,Gold Glove,1977,NL,,1B
1009178,Joe Morgan,morgajo02,Gold Glove,1977,NL,,2B
1011586,Mike Schmidt,schmimi01,Gold Glove,1977,NL,,3B
1000826,Johnny Bench,benchjo01,Gold Glove,1977,NL,,C
1004639,Cesar Geronimo,geronce01,Gold Glove,1977,NL,,OF
1007948,Garry Maddox,maddoga01,Gold Glove,1977,NL,,OF
1010000,Dave Parker,parkeda01,Gold Glove,1977,NL,,OF
1006660,Jim Kaat,kaatji01,Gold Glove,1977,NL,,P
1002494,Dave Concepcion,conceda01,Gold Glove,1977,NL,,SS
1008423,Willie McCovey,mccovwi01,Hutch Award,1977,ML,,
1001458,Lou Brock,brocklo01,Lou Gehrig Memorial Award,1977,ML,,
1001942,Rod Carew,carewro01,Most Valuable Player,1977,AL,,
1004250,George Foster,fostege01,Most Valuable Player,1977,NL,,
1000450,Dusty Baker,bakerdu01,NLCS MVP,1977,NL,,
1001942,Rod Carew,carewro01,Roberto Clemente Award,1977,ML,,
1001874,Bill Campbell,campbbi02,Reliever of the Year Award,1977,AL,,
1004051,Rollie Fingers,fingero01,Reliever of the Year Award,1977,NL,,
1009386,Eddie Murray,murraed02,Rookie of the Year,1977,AL,,
1003091,Andre Dawson,dawsoan01,Rookie of the Year,1977,NL,,
1001942,Rod Carew,carewro01,TSN All-Star,1977,AL,,1B
1010694,Willie Randolph,randowi01,TSN All-Star,1977,AL,,2B
1009517,Graig Nettles,nettlgr01,TSN All-Star,1977,AL,,3B
1004101,Carlton Fisk,fiskca01,TSN All-Star,1977,AL,,C
1008687,Hal McRae,mcraeha01,TSN All-Star,1977,AL,,DH
1012818,Frank Tanana,tananfr01,TSN All-Star,1977,AL,,LHP
1001157,Bobby Bonds,bondsbo01,TSN All-Star,1977,AL,,OF
1005858,Larry Hisle,hislela01,TSN All-Star,1977,AL,,OF
1010897,Jim Rice,riceji01,TSN All-Star,1977,AL,,OF
1011348,Nolan Ryan,ryanno01,TSN All-Star,1977,AL,,RHP
1001696,Rick Burleson,burleri01,TSN All-Star,1977,AL,,SS
1004557,Steve Garvey,garvest01,TSN All-Star,1977,NL,,1B
1009178,Joe Morgan,morgajo02,TSN All-Star,1977,NL,,2B
1011586,Mike Schmidt,schmimi01,TSN All-Star,1977,NL,,3B
1011986,Ted Simmons,simmote01,TSN All-Star,1977,NL,,C
1001964,Steve Carlton,carltst01,TSN All-Star,1977,NL,,LHP
1004250,George Foster,fostege01,TSN All-Star,1977,NL,,OF
1007855,Greg Luzinski,luzingr01,TSN All-Star,1977,NL,,OF
1010000,Dave Parker,parkeda01,TSN All-Star,1977,NL,,OF
1010852,Rick Reuschel,reuscri01,TSN All-Star,1977,NL,,RHP
1012909,Garry Templeton,templga01,TSN All-Star,1977,NL,,SS
1001874,Bill Campbell,campbbi02,TSN Fireman of the Year,1977,AL,,
1004051,Rollie Fingers,fingero01,TSN Fireman of the Year,1977,NL,,
1001942,Rod Carew,carewro01,TSN Major League Player of the Year,1977,ML,,
1011348,Nolan Ryan,ryanno01,TSN Pitcher of the Year,1977,AL,,
1001964,Steve Carlton,carltst01,TSN Pitcher of the Year,1977,NL,,
1001942,Rod Carew,carewro01,TSN Player of the Year,1977,AL,,
1004250,George Foster,fostege01,TSN Player of the Year,1977,NL,,
1006308,Reggie Jackson,jacksre01,World Series MVP,1977,ML,,
