IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1009178,Joe Morgan,morgajo02,All-Star Game MVP,1972,ML,,
1012911,Gene Tenace,tenacge01,Babe Ruth Award,1972,AL,,C
1010210,Gaylord Perry,perryga01,Cy Young Award,1972,AL,,
1001964,Steve Carlton,carltst01,Cy Young Award,1972,NL,,
1011682,George Scott,scottge02,Gold Glove,1972,AL,,1B
1005040,Doug Griffin,griffdo01,Gold Glove,1972,AL,,2B
1011055,Brooks Robinson,robinbr01,Gold Glove,1972,AL,,3B
1004101,Carlton Fisk,fiskca01,Gold Glove,1972,AL,,C
1000908,Ken Berry,berryke01,Gold Glove,1972,AL,,OF
1001031,Paul Blair,blairpa01,Gold Glove,1972,AL,,OF
1009338,Bobby Murcer,murcebo01,Gold Glove,1972,AL,,OF
1006660,Jim Kaat,kaatji01,Gold Glove,1972,AL,,P
1001438,Ed Brinkman,brinked01,Gold Glove,1972,AL,,SS
1010009,Wes Parker,parkewe01,Gold Glove,1972,NL,,1B
1008867,Felix Millan,millafe01,Gold Glove,1972,NL,,2B
1010638,Doug Rader,raderdo02,Gold Glove,1972,NL,,3B
1000826,Johnny Bench,benchjo01,Gold Glove,1972,NL,,C
1002100,Cesar Cedeno,cedence01,Gold Glove,1972,NL,,OF
1002340,Roberto Clemente,clemero01,Gold Glove,1972,NL,,OF
1003088,Willie Davis,daviswi02,Gold Glove,1972,NL,,OF
1004662,Bob Gibson,gibsobo01,Gold Glove,1972,NL,,P
1001243,Larry Bowa,bowala01,Gold Glove,1972,NL,,SS
1013100,Bobby Tolan,tolanbo01,Hutch Award,1972,ML,,
1010009,Wes Parker,parkewe01,Lou Gehrig Memorial Award,1972,ML,,
1000137,Dick Allen,allendi01,Most Valuable Player,1972,AL,,
1000826,Johnny Bench,benchjo01,Most Valuable Player,1972,NL,,
1001964,Steve Carlton,carltst01,Pitching Triple Crown,1972,NL,,
1011055,Brooks Robinson,robinbr01,Roberto Clemente Award,1972,ML,,
1004101,Carlton Fisk,fiskca01,Rookie of the Year,1972,AL,,
1008246,Jon Matlack,matlajo01,Rookie of the Year,1972,NL,,
1000137,Dick Allen,allendi01,TSN All-Star,1972,AL,,1B
1001942,Rod Carew,carewro01,TSN All-Star,1972,AL,,2B
1011055,Brooks Robinson,robinbr01,TSN All-Star,1972,AL,,3B
1004101,Carlton Fisk,fiskca01,TSN All-Star,1972,AL,,C
1014248,Wilbur Wood,woodwi01,TSN All-Star,1972,AL,,LHP
1009338,Bobby Murcer,murcebo01,TSN All-Star,1972,AL,,OF
1011283,Joe Rudi,rudijo01,TSN All-Star,1972,AL,,OF
1011541,Richie Scheinblum,scheiri01,TSN All-Star,1972,AL,,OF
1010210,Gaylord Perry,perryga01,TSN All-Star,1972,AL,,RHP
1000278,Luis Aparicio,aparilu01,TSN All-Star,1972,AL,,SS
1012426,Willie Stargell,stargwi01,TSN All-Star,1972,NL,,1B
1009178,Joe Morgan,morgajo02,TSN All-Star,1972,NL,,2B
1011447,Ron Santo,santoro01,TSN All-Star,1972,NL,,3B
1000826,Johnny Bench,benchjo01,TSN All-Star,1972,NL,,C
1001964,Steve Carlton,carltst01,TSN All-Star,1972,NL,,LHP
1002100,Cesar Cedeno,cedence01,TSN All-Star,1972,NL,,OF
1002340,Roberto Clemente,clemero01,TSN All-Star,1972,NL,,OF
1013975,Billy Williams,willibi01,TSN All-Star,1972,NL,,OF
1006388,Fergie Jenkins,jenkife01,TSN All-Star,1972,NL,,RHP
1012316,Chris Speier,speiech01,TSN All-Star,1972,NL,,SS
1007859,Sparky Lyle,lylesp01,TSN Fireman of the Year,1972,AL,,
1001997,Clay Carroll,carrocl02,TSN Fireman of the Year,1972,NL,,
1013975,Billy Williams,willibi01,TSN Major League Player of the Year,1972,ML,,
1014248,Wilbur Wood,woodwi01,TSN Pitcher of the Year,1972,AL,,
1001964,Steve Carlton,carltst01,TSN Pitcher of the Year,1972,NL,,
1000137,Dick Allen,allendi01,TSN Player of the Year,1972,AL,,
1013975,Billy Williams,willibi01,TSN Player of the Year,1972,NL,,
1012911,Gene Tenace,tenacge01,World Series MVP,1972,ML,,
