IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1005741.0,Orel Hershiser,hershor01,ALCS MVP,1995,AL,,
131.0,Jeff Conine,coninje01,All-Star Game MVP,1995,ML,,
90.0,Tom Glavine,glavito02,Babe Ruth Award,1995,NL,,P
1005166.0,Tony Gwynn,gwynnto01,Branch Rickey Award,1995,ML,,
60.0,Randy Johnson,johnsra05,Cy Young Award,1995,AL,,
104.0,Greg Maddux,maddugr01,Cy Young Award,1995,NL,,
860.0,Roberto Alomar,alomaro01,Gold Glove,1995,AL,,2B
1001124.0,Wade Boggs,boggswa01,Gold Glove,1995,AL,,3B
1275.0,Ivan Rodriguez,rodriiv01,Gold Glove,1995,AL,,C
1005044.0,Ken Griffey,griffke02,Gold Glove,1995,AL,,OF
246.0,Kenny Lofton,loftoke01,Gold Glove,1995,AL,,OF
1013862.0,Devon White,whitede03,Gold Glove,1995,AL,,OF
1007323.0,Mark Langston,langsma01,Gold Glove,1995,AL,,P
411.0,Omar Vizquel,vizquom01,Gold Glove,1995,AL,,SS
56.0,Mark Grace,gracema01,Gold Glove,1995,NL,,1B
549.0,Craig Biggio,biggicr01,Gold Glove,1995,NL,,2B
1001863.0,Ken Caminiti,caminke01,Gold Glove,1995,NL,,3B
523.0,Charles Johnson,johnsch04,Gold Glove,1995,NL,,C
54.0,Steve Finley,finlest01,Gold Glove,1995,NL,,OF
652.0,Marquis Grissom,grissma02,Gold Glove,1995,NL,,OF
1314.0,Raul Mondesi,mondera01,Gold Glove,1995,NL,,OF
104.0,Greg Maddux,maddugr01,Gold Glove,1995,NL,,P
335.0,Barry Larkin,larkiba01,Gold Glove,1995,NL,,SS
1000012.0,Jim Abbott,abbotji01,Hutch Award,1995,ML,,
73.0,Curt Schilling,schilcu01,Lou Gehrig Memorial Award,1995,ML,,
899.0,Mo Vaughn,vaughmo01,Most Valuable Player,1995,AL,,
335.0,Barry Larkin,larkiba01,Most Valuable Player,1995,NL,,
1003242.0,Mike Devereaux,devermi01,NLCS MVP,1995,NL,,
1012186.0,Ozzie Smith,smithoz01,Roberto Clemente Award,1995,ML,,
961.0,Jose Mesa,mesajo01,Reliever of the Year Award,1995,AL,,
1005649.0,Tom Henke,henketo01,Reliever of the Year Award,1995,NL,,
132.0,Marty Cordova,cordoma01,Rookie of the Year,1995,AL,,
666.0,Hideo Nomo,nomohi01,Rookie of the Year,1995,NL,,
899.0,Mo Vaughn,vaughmo01,Silver Slugger,1995,AL,,1B
609.0,Chuck Knoblauch,knoblch01,Silver Slugger,1995,AL,,2B
1004422.0,Gary Gaetti,gaettga01,Silver Slugger,1995,AL,,3B
1275.0,Ivan Rodriguez,rodriiv01,Silver Slugger,1995,AL,,C
1086.0,Edgar Martinez,martied01,Silver Slugger,1995,AL,,DH
1000802.0,Albert Belle,belleal01,Silver Slugger,1995,AL,,OF
210.0,Manny Ramirez,ramirma02,Silver Slugger,1995,AL,,OF
32.0,Tim Salmon,salmoti01,Silver Slugger,1995,AL,,OF
1375.0,John Valentin,valenjo02,Silver Slugger,1995,AL,,SS
659.0,Eric Karros,karroer01,Silver Slugger,1995,NL,,1B
549.0,Craig Biggio,biggicr01,Silver Slugger,1995,NL,,2B
84.0,Vinny Castilla,castivi02,Silver Slugger,1995,NL,,3B
893.0,Mike Piazza,piazzmi01,Silver Slugger,1995,NL,,C
1000946.0,Dante Bichette,bicheda01,Silver Slugger,1995,NL,,OF
1005166.0,Tony Gwynn,gwynnto01,Silver Slugger,1995,NL,,OF
302.0,Sammy Sosa,sosasa01,Silver Slugger,1995,NL,,OF
90.0,Tom Glavine,glavito02,Silver Slugger,1995,NL,,P
335.0,Barry Larkin,larkiba01,Silver Slugger,1995,NL,,SS
899.0,Mo Vaughn,vaughmo01,TSN All-Star,1995,AL,,1B
175.0,Carlos Baerga,baergca01,TSN All-Star,1995,AL,,2B
409.0,Jim Thome,thomeji01,TSN All-Star,1995,AL,,3B
1275.0,Ivan Rodriguez,rodriiv01,TSN All-Star,1995,AL,,C
1086.0,Edgar Martinez,martied01,TSN All-Star,1995,AL,,DH
60.0,Randy Johnson,johnsra05,TSN All-Star,1995,AL,,LHP
1000802.0,Albert Belle,belleal01,TSN All-Star,1995,AL,,OF
1153.0,Jim Edmonds,edmonji01,TSN All-Star,1995,AL,Y,OF
210.0,Manny Ramirez,ramirma02,TSN All-Star,1995,AL,Y,OF
32.0,Tim Salmon,salmoti01,TSN All-Star,1995,AL,,OF
837.0,Mike Mussina,mussimi01,TSN All-Star,1995,AL,,RHP
1010978.0,Cal Ripken,ripkeca01,TSN All-Star,1995,AL,,SS
659.0,Eric Karros,karroer01,TSN All-Star,1995,NL,,1B
549.0,Craig Biggio,biggicr01,TSN All-Star,1995,NL,,2B
84.0,Vinny Castilla,castivi02,TSN All-Star,1995,NL,,3B
893.0,Mike Piazza,piazzmi01,TSN All-Star,1995,NL,,C
1011608.0,Pete Schourek,schoupe01,TSN All-Star,1995,NL,,LHP
1000946.0,Dante Bichette,bicheda01,TSN All-Star,1995,NL,,OF
1011419.0,Reggie Sanders,sandere02,TSN All-Star,1995,NL,,OF
302.0,Sammy Sosa,sosasa01,TSN All-Star,1995,NL,,OF
104.0,Greg Maddux,maddugr01,TSN All-Star,1995,NL,,RHP
335.0,Barry Larkin,larkiba01,TSN All-Star,1995,NL,,SS
961.0,Jose Mesa,mesajo01,TSN Fireman of the Year,1995,AL,,
1009427.0,Randy Myers,myersra01,TSN Fireman of the Year,1995,NL,,
1000802.0,Albert Belle,belleal01,TSN Major League Player of the Year,1995,ML,,
