IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1003660,Dennis Eckersley,eckerde01,ALCS MVP,1988,AL,,
1012473,Terry Steinbach,steinte01,All-Star Game MVP,1988,ML,,
1005741,Orel Hershiser,hershor01,Babe Ruth Award,1988,NL,,P
1013435,Frank Viola,violafr01,Cy Young Award,1988,AL,,
1005741,Orel Hershiser,hershor01,Cy Young Award,1988,NL,,
1008261,Don Mattingly,mattido01,Gold Glove,1988,AL,,1B
1010870,Harold Reynolds,reynoha01,Gold Glove,1988,AL,,2B
1004422,Gary Gaetti,gaettga01,Gold Glove,1988,AL,,3B
1001183,Bob Boone,boonebo01,Gold Glove,1988,AL,,C
1010249,Gary Pettis,pettiga01,Gold Glove,1988,AL,,OF
1010557,Kirby Puckett,puckeki01,Gold Glove,1988,AL,,OF
1013862,Devon White,whitede03,Gold Glove,1988,AL,,OF
1007323,Mark Langston,langsma01,Gold Glove,1988,AL,,P
1004002,Tony Fernandez,fernato01,Gold Glove,1988,AL,,SS
1005706,Keith Hernandez,hernake01,Gold Glove,1988,NL,,1B
1011411,Ryne Sandberg,sandbry01,Gold Glove,1988,NL,,2B
1013554,Tim Wallach,wallati01,Gold Glove,1988,NL,,3B
1130,Benito Santiago,santibe01,Gold Glove,1988,NL,,C
1003048,Eric Davis,daviser01,Gold Glove,1988,NL,,OF
1003091,Andre Dawson,dawsoan01,Gold Glove,1988,NL,,OF
1013363,Andy Van Slyke,vanslan01,Gold Glove,1988,NL,,OF
1005741,Orel Hershiser,hershor01,Gold Glove,1988,NL,,P
1012186,Ozzie Smith,smithoz01,Gold Glove,1988,NL,,SS
1009739,Ron Oester,oestero01,Hutch Award,1988,ML,,
1000799,Buddy Bell,bellbu01,Lou Gehrig Memorial Award,1988,ML,,
1001918,Jose Canseco,cansejo01,Most Valuable Player,1988,AL,,
1004669,Kirk Gibson,gibsoki01,Most Valuable Player,1988,NL,,
1005741,Orel Hershiser,hershor01,NLCS MVP,1988,NL,,
1009355,Dale Murphy,murphda05,Roberto Clemente Award,1988,ML,,
1003660,Dennis Eckersley,eckerde01,Reliever of the Year Award,1988,AL,,
874,John Franco,francjo01,Reliever of the Year Award,1988,NL,,
