IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1010557,Kirby Puckett,puckeki01,ALCS MVP,1991,AL,,
1010978,Cal Ripken,ripkeca01,All-Star Game MVP,1991,ML,,
1009211,Jack Morris,morrija02,Babe Ruth Award,1991,AL,,P
815,Roger Clemens,clemero02,Cy Young Award,1991,AL,,
90,Tom Glavine,glavito02,Cy Young Award,1991,NL,,
1008261,Don Mattingly,mattido01,Gold Glove,1991,AL,,1B
860,Roberto Alomar,alomaro01,Gold Glove,1991,AL,,2B
854,Robin Ventura,venturo01,Gold Glove,1991,AL,,3B
1010153,Tony Pena,penato01,Gold Glove,1991,AL,,C
1005044,Ken Griffey,griffke02,Gold Glove,1991,AL,,OF
1010557,Kirby Puckett,puckeki01,Gold Glove,1991,AL,,OF
1013862,Devon White,whitede03,Gold Glove,1991,AL,,OF
1007323,Mark Langston,langsma01,Gold Glove,1991,AL,,P
1010978,Cal Ripken,ripkeca01,Gold Glove,1991,AL,,SS
1002318,Will Clark,clarkwi02,Gold Glove,1991,NL,,1B
1011411,Ryne Sandberg,sandbry01,Gold Glove,1991,NL,,2B
77,Matt Williams,willima04,Gold Glove,1991,NL,,3B
1009960,Tom Pagnozzi,pagnoto01,Gold Glove,1991,NL,,C
1109,Barry Bonds,bondsba01,Gold Glove,1991,NL,,OF
1005166,Tony Gwynn,gwynnto01,Gold Glove,1991,NL,,OF
1013363,Andy Van Slyke,vanslan01,Gold Glove,1991,NL,,OF
104,Greg Maddux,maddugr01,Gold Glove,1991,NL,,P
1012186,Ozzie Smith,smithoz01,Gold Glove,1991,NL,,SS
1013727,Bill Wegman,wegmabi01,Hutch Award,1991,ML,,
1006117,Kent Hrbek,hrbekke01,Lou Gehrig Memorial Award,1991,ML,,
1010978,Cal Ripken,ripkeca01,Most Valuable Player,1991,AL,,
1010157,Terry Pendleton,pendlte01,Most Valuable Player,1991,NL,,
1706,Steve Avery,averyst01,NLCS MVP,1991,NL,,
1010870,Harold Reynolds,reynoha01,Roberto Clemente Award,1991,ML,,
1005469,Bryan Harvey,harvebr01,Reliever of the Year Award,1991,AL,,
1012175,Lee Smith,smithle02,Reliever of the Year Award,1991,NL,,
609,Chuck Knoblauch,knoblch01,Rookie of the Year,1991,AL,,
547,Jeff Bagwell,bagweje01,Rookie of the Year,1991,NL,,
1004026,Cecil Fielder,fieldce01,Silver Slugger,1991,AL,,1B
87,Julio Franco,francju01,Silver Slugger,1991,AL,,2B
1001124,Wade Boggs,boggswa01,Silver Slugger,1991,AL,,3B
1012939,Mickey Tettleton,tettlmi01,Silver Slugger,1991,AL,,C
1012976,Frank Thomas,thomafr04,Silver Slugger,1991,AL,,DH
1001918,Jose Canseco,cansejo01,Silver Slugger,1991,AL,,OF
1002018,Joe Carter,cartejo01,Silver Slugger,1991,AL,,OF
1005044,Ken Griffey,griffke02,Silver Slugger,1991,AL,,OF
1010978,Cal Ripken,ripkeca01,Silver Slugger,1991,AL,,SS
1002318,Will Clark,clarkwi02,Silver Slugger,1991,NL,,1B
1011411,Ryne Sandberg,sandbry01,Silver Slugger,1991,NL,,2B
1006462,Howard Johnson,johnsho01,Silver Slugger,1991,NL,,3B
1130,Benito Santiago,santibe01,Silver Slugger,1991,NL,,C
1109,Barry Bonds,bondsba01,Silver Slugger,1991,NL,,OF
1001168,Bobby Bonilla,bonilbo01,Silver Slugger,1991,NL,,OF
1032,Ron Gant,gantro01,Silver Slugger,1991,NL,,OF
90,Tom Glavine,glavito02,Silver Slugger,1991,NL,,P
335,Barry Larkin,larkiba01,Silver Slugger,1991,NL,,SS
1004026,Cecil Fielder,fieldce01,TSN All-Star,1991,AL,,1B
87,Julio Franco,francju01,TSN All-Star,1991,AL,,2B
1001124,Wade Boggs,boggswa01,TSN All-Star,1991,AL,,3B
1012939,Mickey Tettleton,tettlmi01,TSN All-Star,1991,AL,,C
1000012,Jim Abbott,abbotji01,TSN All-Star,1991,AL,,LHP
1001918,Jose Canseco,cansejo01,TSN All-Star,1991,AL,,OF
1002018,Joe Carter,cartejo01,TSN All-Star,1991,AL,,OF
1005044,Ken Griffey,griffke02,TSN All-Star,1991,AL,,OF
