IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
840,Andy Pettitte,pettian01,ALCS MVP,2001,AL,,
1010978,Cal Ripken,ripkeca01,All-Star Game MVP,2001,ML,,
60,Randy Johnson,johnsra05,Babe Ruth Award,2001,NL,Y,P
73,Curt Schilling,schilcu01,Babe Ruth Award,2001,NL,Y,P
73,Curt Schilling,schilcu01,Branch Rickey Award,2001,ML,,
815,Roger Clemens,clemero02,Cy Young Award,2001,AL,,
60,Randy Johnson,johnsra05,Cy Young Award,2001,NL,,
741,Doug Mientkiewicz,mientdo01,Gold Glove,2001,AL,,1B
860,Roberto Alomar,alomaro01,Gold Glove,2001,AL,,2B
906,Eric Chavez,chaveer01,Gold Glove,2001,AL,,3B
1275,Ivan Rodriguez,rodriiv01,Gold Glove,2001,AL,,C
1070,Mike Cameron,camermi01,Gold Glove,2001,AL,,OF
731,Torii Hunter,hunteto01,Gold Glove,2001,AL,,OF
1101,Ichiro Suzuki,suzukic01,Gold Glove,2001,AL,,OF
837,Mike Mussina,mussimi01,Gold Glove,2001,AL,,P
411,Omar Vizquel,vizquom01,Gold Glove,2001,AL,,SS
432,Todd Helton,heltoto01,Gold Glove,2001,NL,,1B
1189,Fernando Vina,vinafe01,Gold Glove,2001,NL,,2B
970,Scott Rolen,rolensc01,Gold Glove,2001,NL,,3B
546,Brad Ausmus,ausmubr01,Gold Glove,2001,NL,,C
1153,Jim Edmonds,edmonji01,Gold Glove,2001,NL,,OF
96,Andruw Jones,jonesan01,Gold Glove,2001,NL,,OF
455,Larry Walker,walkela01,Gold Glove,2001,NL,,OF
104,Greg Maddux,maddugr01,Gold Glove,2001,NL,,P
766,Orlando Cabrera,cabreor01,Gold Glove,2001,NL,,SS
1274,Alex Rodriguez,rodrial01,Hank Aaron Award,2001,AL,,SS
1109,Barry Bonds,bondsba01,Hank Aaron Award,2001,NL,,OF
73,Curt Schilling,schilcu01,Hutch Award,2001,ML,,
874,John Franco,francjo01,Lou Gehrig Memorial Award,2001,ML,,
1101,Ichiro Suzuki,suzukic01,Most Valuable Player,2001,AL,,
1109,Barry Bonds,bondsba01,Most Valuable Player,2001,NL,,
52,Craig Counsell,counscr01,NLCS MVP,2001,NL,,
73,Curt Schilling,schilcu01,Roberto Clemente Award,2001,ML,,
844,Mariano Rivera,riverma01,Reliever of the Year Award,2001,AL,,
865,Armando Benitez,benitar01,Reliever of the Year Award,2001,NL,,
1101,Ichiro Suzuki,suzukic01,Rookie of the Year,2001,AL,,
1177,Albert Pujols,pujolal01,Rookie of the Year,2001,NL,,
818,Jason Giambi,giambja01,Silver Slugger,2001,AL,,1B
1067,Bret Boone,boonebr01,Silver Slugger,2001,AL,,2B
15,Troy Glaus,glaustr01,Silver Slugger,2001,AL,,3B
841,Jorge Posada,posadjo01,Silver Slugger,2001,AL,,C
1086,Edgar Martinez,martied01,Silver Slugger,2001,AL,,DH
1251,Juan Gonzalez,gonzaju03,Silver Slugger,2001,AL,,OF
210,Manny Ramirez,ramirma02,Silver Slugger,2001,AL,,OF
1101,Ichiro Suzuki,suzukic01,Silver Slugger,2001,AL,,OF
1274,Alex Rodriguez,rodrial01,Silver Slugger,2001,AL,,SS
432,Todd Helton,heltoto01,Silver Slugger,2001,NL,,1B
1119,Jeff Kent,kentje01,Silver Slugger,2001,NL,,2B
1177,Albert Pujols,pujolal01,Silver Slugger,2001,NL,,3B
