IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1008569.0,Stuffy McInnis,mcinnst01,Baseball Magazine All-Star,1912,AL,,1B
1002451.0,Eddie Collins,collied01,Baseball Magazine All-Star,1912,AL,,2B
1004528.0,Larry Gardner,gardnla01,Baseball Magazine All-Star,1912,AL,,3B
1012394.0,Oscar Stanage,stanaos01,Baseball Magazine All-Star,1912,AL,,C1
1000092.0,Eddie Ainsmith,ainsmed01,Baseball Magazine All-Star,1912,AL,,C2
1002378.0,Ty Cobb,cobbty01,Baseball Magazine All-Star,1912,AL,,OF
1012309.0,Tris Speaker,speaktr01,Baseball Magazine All-Star,1912,AL,,OF
1006511.0,Walter Johnson,johnswa01,Baseball Magazine All-Star,1912,AL,,P1
1010385.0,Eddie Plank,planked01,Baseball Magazine All-Star,1912,AL,,P3
1013483.0,Heinie Wagner,wagnehe01,Baseball Magazine All-Star,1912,AL,,SS
1003005.0,Jake Daubert,daubeja01,Baseball Magazine All-Star,1912,ML,,1B
1003876.0,Johnny Evers,eversjo01,Baseball Magazine All-Star,1912,ML,,2B
1014444.0,Heinie Zimmerman,zimmehe01,Baseball Magazine All-Star,1912,ML,,3B
1000290.0,Jimmy Archer,archeji01,Baseball Magazine All-Star,1912,ML,,C1
1002378.0,Ty Cobb,cobbty01,Baseball Magazine All-Star,1912,ML,,OF
1012309.0,Tris Speaker,speaktr01,Baseball Magazine All-Star,1912,ML,,OF
1006511.0,Walter Johnson,johnswa01,Baseball Magazine All-Star,1912,ML,,P1
1011281.0,Nap Rucker,ruckena01,Baseball Magazine All-Star,1912,ML,,P2
1013485.0,Honus Wagner,wagneho01,Baseball Magazine All-Star,1912,ML,,SS
1003005.0,Jake Daubert,daubeja01,Baseball Magazine All-Star,1912,NL,,1B
1003876.0,Johnny Evers,eversjo01,Baseball Magazine All-Star,1912,NL,,2B
1014444.0,Heinie Zimmerman,zimmehe01,Baseball Magazine All-Star,1912,NL,,3B
1000290.0,Jimmy Archer,archeji01,Baseball Magazine All-Star,1912,NL,,C1
1007965.0,Sherry Magee,mageesh01,Baseball Magazine All-Star,1912,NL,,OF
1010042.0,Dode Paskert,paskedo01,Baseball Magazine All-Star,1912,NL,,OF
1012936.0,Jeff Tesreau,tesreje01,Baseball Magazine All-Star,1912,NL,,P1
1008235.0,Christy Mathewson,mathech01,Baseball Magazine All-Star,1912,NL,,P2
1011281.0,Nap Rucker,ruckena01,Baseball Magazine All-Star,1912,NL,,P3
1013485.0,Honus Wagner,wagneho01,Baseball Magazine All-Star,1912,NL,,SS
1012309.0,Tris Speaker,speaktr01,Most Valuable Player,1912,AL,,
1003467.0,Larry Doyle,doylela01,Most Valuable Player,1912,NL,,
