IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
194,Rickey Henderson,henderi01,ALCS MVP,1989,AL,,
1006290,Bo Jackson,jacksbo01,All-Star Game MVP,1989,ML,,
1012519,Dave Stewart,stewada01,Babe Ruth Award,1989,AL,,P
1011355,Bret Saberhagen,saberbr01,Cy Young Award,1989,AL,,
1003067,Mark Davis,davisma01,Cy Young Award,1989,NL,,
1008261,Don Mattingly,mattido01,Gold Glove,1989,AL,,1B
1010870,Harold Reynolds,reynoha01,Gold Glove,1989,AL,,2B
1004422,Gary Gaetti,gaettga01,Gold Glove,1989,AL,,3B
1001183,Bob Boone,boonebo01,Gold Glove,1989,AL,,C
1010249,Gary Pettis,pettiga01,Gold Glove,1989,AL,,OF
1010557,Kirby Puckett,puckeki01,Gold Glove,1989,AL,,OF
1013862,Devon White,whitede03,Gold Glove,1989,AL,,OF
1011355,Bret Saberhagen,saberbr01,Gold Glove,1989,AL,,P
1004002,Tony Fernandez,fernato01,Gold Glove,1989,AL,,SS
1390,Andres Galarraga,galaran01,Gold Glove,1989,NL,,1B
1011411,Ryne Sandberg,sandbry01,Gold Glove,1989,NL,,2B
1010157,Terry Pendleton,pendlte01,Gold Glove,1989,NL,,3B
1130,Benito Santiago,santibe01,Gold Glove,1989,NL,,C
1003048,Eric Davis,daviser01,Gold Glove,1989,NL,,OF
1005166,Tony Gwynn,gwynnto01,Gold Glove,1989,NL,,OF
1013363,Andy Van Slyke,vanslan01,Gold Glove,1989,NL,,OF
1002989,Ron Darling,darliro01,Gold Glove,1989,NL,,P
1012186,Ozzie Smith,smithoz01,Gold Glove,1989,NL,,SS
1003486,Dave Dravecky,draveda01,Hutch Award,1989,ML,,
1012186,Ozzie Smith,smithoz01,Lou Gehrig Memorial Award,1989,ML,,
1014396,Robin Yount,yountro01,Most Valuable Player,1989,AL,,
1009004,Kevin Mitchell,mitchke01,Most Valuable Player,1989,NL,,
1002318,Will Clark,clarkwi02,NLCS MVP,1989,NL,,
1002015,Gary Carter,cartega01,Roberto Clemente Award,1989,ML,,
1011314,Jeff Russell,russeje01,Reliever of the Year Award,1989,AL,,
1003067,Mark Davis,davisma01,Reliever of the Year Award,1989,NL,,
1009791,Gregg Olson,olsongr01,Rookie of the Year,1989,AL,,
1013593,Jerome Walton,waltoje01,Rookie of the Year,1989,NL,,
293,Fred McGriff,mcgrifr01,Silver Slugger,1989,AL,,1B
87,Julio Franco,francju01,Silver Slugger,1989,AL,,2B
1001124,Wade Boggs,boggswa01,Silver Slugger,1989,AL,,3B
1012939,Mickey Tettleton,tettlmi01,Silver Slugger,1989,AL,,C
1000434,Harold Baines,baineha01,Silver Slugger,1989,AL,,DH
1010557,Kirby Puckett,puckeki01,Silver Slugger,1989,AL,,OF
1099,Ruben Sierra,sierrru01,Silver Slugger,1989,AL,,OF
1014396,Robin Yount,yountro01,Silver Slugger,1989,AL,,OF
1010978,Cal Ripken,ripkeca01,Silver Slugger,1989,AL,,SS
1002318,Will Clark,clarkwi02,Silver Slugger,1989,NL,,1B
1011411,Ryne Sandberg,sandbry01,Silver Slugger,1989,NL,,2B
1006462,Howard Johnson,johnsho01,Silver Slugger,1989,NL,,3B
549,Craig Biggio,biggicr01,Silver Slugger,1989,NL,,C
1003048,Eric Davis,daviser01,Silver Slugger,1989,NL,,OF
1005166,Tony Gwynn,gwynnto01,Silver Slugger,1989,NL,,OF
1009004,Kevin Mitchell,mitchke01,Silver Slugger,1989,NL,,OF
1011061,Don Robinson,robindo01,Silver Slugger,1989,NL,,P
335,Barry Larkin,larkiba01,Silver Slugger,1989,NL,,SS
293,Fred McGriff,mcgrifr01,TSN All-Star,1989,AL,,1B
87,Julio Franco,francju01,TSN All-Star,1989,AL,,2B
1007331,Carney Lansford,lansfca01,TSN All-Star,1989,AL,,3B
1012939,Mickey Tettleton,tettlmi01,TSN All-Star,1989,AL,,C
1000434,Harold Baines,baineha01,TSN All-Star,1989,AL,,DH
384,Chuck Finley,finlech01,TSN All-Star,1989,AL,,LHP
1010557,Kirby Puckett,puckeki01,TSN All-Star,1989,AL,,OF
1099,Ruben Sierra,sierrru01,TSN All-Star,1989,AL,,OF
1014396,Robin Yount,yountro01,TSN All-Star,1989,AL,,OF
1011355,Bret Saberhagen,saberbr01,TSN All-Star,1989,AL,,RHP
1010978,Cal Ripken,ripkeca01,TSN All-Star,1989,AL,,SS
1002318,Will Clark,clarkwi02,TSN All-Star,1989,NL,,1B
1011411,Ryne Sandberg,sandbry01,TSN All-Star,1989,NL,,2B
1006462,Howard Johnson,johnsho01,TSN All-Star,1989,NL,,3B
1130,Benito Santiago,santibe01,TSN All-Star,1989,NL,,C
1003067,Mark Davis,davisma01,TSN All-Star,1989,NL,,LHP
1003048,Eric Davis,daviser01,TSN All-Star,1989,NL,,OF
1005166,Tony Gwynn,gwynnto01,TSN All-Star,1989,NL,,OF
1009004,Kevin Mitchell,mitchke01,TSN All-Star,1989,NL,,OF
1011691,Mike Scott,scottmi03,TSN All-Star,1989,NL,,RHP
1401,Shawon Dunston,dunstsh01,TSN All-Star,1989,NL,,SS
1011314,Jeff Russell,russeje01,TSN Fireman of the Year,1989,AL,,
1003067,Mark Davis,davisma01,TSN Fireman of the Year,1989,NL,,
1009004,Kevin Mitchell,mitchke01,TSN Major League Player of the Year,1989,ML,,
1011355,Bret Saberhagen,saberbr01,TSN Pitcher of the Year,1989,AL,,
1003067,Mark Davis,davisma01,TSN Pitcher of the Year,1989,NL,,
1099,Ruben Sierra,sierrru01,TSN Player of the Year,1989,AL,,
1009004,Kevin Mitchell,mitchke01,TSN Player of the Year,1989,NL,,
1012519,Dave Stewart,stewada01,World Series MVP,1989,ML,,
